序号,代码,名称,最新价(元) 10:28,涨跌幅(%) 10:28,证券类型,涨跌幅(%) 2026.07.09,成交额(元) 2026.07.09,成交额(元) 10:28,申万行业分类,股票简称,东财行业总分类,概念,涨跌额(元) 10:28,最高价(元) 10:28,最低价(元) 10:28,换手率(%) 10:28,量比 10:28,成交量(股) 10:28,市盈率(动)(倍) 2026.07.10,市净率(倍) 2026.07.10,总市值(元) 2026.07.10,流通市值(元) 2026.07.10
11,600487,亨通光电,82.30,2.80,A股,4.03,185.87亿,133.57亿,通信-通信设备-通信线缆及配套,亨通光电,通信-通信设备-通信线缆及配套,光纤光缆、国产芯片、5G概念、海工装备、昨日高振幅、光通信模块、新能源车、水利建设、标准普尔、华为概念、通信技术、东方财富热股、创投、大盘成长、CPO概念、毫米波概念、DeepSeek概念、量子通信、无人驾驶、科技风格、富时罗素、物联网、海底电缆、MSCI中国、机器人概念、电网概念、量子科技、军工、6G概念、融资融券、液冷概念、F5G概念、沪股通、特高压、智慧城市、大盘股、网络安全、数据中心、小米汽车、人形机器人、一带一路、光纤概念、智能电网、太赫兹、长江三角、风能、柔性直流输电、大数据,2.240,86.39,80.80,6.52,3.45,1.60亿,45.88,6.3912,2028.36亿,2017.88亿
12,000977,浪潮信息,92.84,7.97,A股,10.00,185.34亿,140.00亿,计算机-计算机设备-其他计算机设备,浪潮信息,计算机-计算机设备-其他计算机设备,国资云概念、深证100R、数字经济、抖音概念、深成500、东方财富热股、趋势股、大盘成长、腾讯概念、CDU、边缘计算、中国AI 50、无人驾驶、国产操作系统、富时罗素、题材股、融资融券、液冷概念、腾讯系算力、AIGC概念、网络安全、数据中心、英伟达概念、大数据、数据中心液冷、东数西算、元宇宙概念、车联网、水利建设、2026中报预增、标准普尔、最近多板、HS300_、信创、算力租赁、央国企改革、百度概念、百日新高 、DeepSeek概念、人工智能、科技风格、MSCI中国、云计算、深股通、算力概念、近期新高、智慧城市、大盘股、国产软件、历史新高 ,6.850,94.38,90.36,10.37,5.36,1.52亿,56.25,6.1185,1360.98亿,1359.46亿
13,688525,佰维存储,418.50,-0.09,A股,5.72,156.07亿,70.56亿,电子-半导体-数字芯片设计,佰维存储,电子-半导体-数字芯片设计,国产芯片、专精特新、AIPC、上证180_、国家大基金持股、存储芯片、华为概念、小米概念、智能穿戴、消费电子概念、信创、科技风格、2025年报预增、MSCI中国、阿里概念、AI手机、机器人概念、融资融券、AI眼镜、沪股通、半导体概念、先进封装、大盘股、数据中心、人形机器人、比亚迪概念、股权激励、汽车芯片、DRAM存储,-0.380,430.00,413.05,3.53,1.90,1665.41万,17.02,23.3900,1973.51亿,1973.51亿
14,600522,中天科技,47.93,1.68,A股,5.08,154.65亿,93.93亿,通信-通信设备-通信线缆及配套,中天科技,通信-通信设备-通信线缆及配套,国产芯片、海工装备、数字经济、上证180_、3D打印、铜缆高速连接、东方财富热股、空芯光纤、碳纤维、OLED、央视50_、富时罗素、物联网、阿里概念、机器人概念、数据要素、中越经济一体化、融资融券、低空经济、液冷概念、商业航天、绿色电力、半导体概念、特高压、PCB、数据中心、光伏概念、铁路基建、超导概念、光纤概念、智能电网、石墨烯、海洋经济、长江三角、碳中和、大数据、光纤光缆、数据中心液冷、5G概念、东数西算、昨日高振幅、证金持股、光通信模块、新能源车、钙钛矿电池、工业互联、标准普尔、航运概念、华为概念、通信技术、创投、电池技术、HS300_、固态电池、储能概念、核能核电、CPO概念、DeepSeek概念、超级电容、科技风格、海底电缆、MSCI中国、电网概念、量子科技、6G概念、充电桩、沪股通、参股券商、大盘股、PET铜箔、新能源、氢能源、系统集成、新材料、可控核聚变、一带一路、锂电池概念、中欧经济一体化、阿里系算力、风能、参股银行、汽车电子、柔性直流输电,0.790,49.78,47.17,5.67,3.14,1.94亿,44.47,4.4033,1634.80亿,1634.80亿
15,688012,中微公司,483.00,2.42,A股,11.49,151.79亿,80.81亿,电子-半导体-半导体设备,中微公司,电子-半导体-半导体设备,国产芯片、LED概念、区块链、上证180_、国家大基金持股、工业互联、存储芯片、东方财富热股、趋势股、HS300_、大盘成长、中芯概念、高带宽内存、科创板做市股、科技风格、富时罗素、MSCI中国、题材股、宁组合、融资融券、沪股通、半导体概念、大盘股、先进封装、上证50_、股权激励、先进封装设备、长江三角、MiniLED,11.410,492.05,468.10,1.78,2.28,1680.72万,123.49,16.7954,4596.23亿,4545.63亿
16,688041,海光信息,386.40,6.31,A股,5.97,150.18亿,113.34亿,电子-半导体-数字芯片设计,海光信息,电子-半导体-数字芯片设计,国产芯片、专精特新、东数西算、上证180_、抖音概念、CPU、水利建设、GPU、AI芯片、趋势股、HS300_、大盘成长、腾讯概念、信创、百度概念、DeepSeek概念、人工智能、中国AI 50、科技风格、MSCI中国、阿里概念、量子科技、权重股、融资融券、算力概念、沪股通、半导体概念、大盘股、上证50_、阿里系算力,22.940,395.17,365.87,1.28,3.57,2974.29万,326.71,38.7878,8979.15亿,8979.15亿
17,000938,紫光股份,39.25,10.01,A股,6.13,149.96亿,95.98亿,计算机-IT服务Ⅱ-IT服务Ⅲ,紫光股份,计算机-IT服务Ⅱ-IT服务Ⅲ,国产芯片、国资云概念、区块链、深证100R、数字经济、OCS交换机、抖音概念、参股新三板、深成500、AI智能体、东方财富热股、昨日高换手、趋势股、AI应用、国产操作系统、中国AI 50、富时罗素、物联网、阿里概念、机器人概念、数据要素、题材股、智慧政务、融资融券、液冷概念、AIGC概念、网络安全、数据中心、英伟达概念、大数据、5G概念、东数西算、IPv6、昨日高振幅、车联网、数字乡村、标准普尔、通信技术、创投、HS300_、数据存储、算力租赁、百日新高 、CPO概念、DeepSeek概念、人工智能、科技风格、MSCI中国、云计算、数据安全、安防概念、6G概念、数字孪生、微通道水冷板、深股通、算力概念、近期新高、IaaS、智慧城市、大盘股、互联网服务、WiFi6、WiFi,3.570,39.25,36.20,8.81,2.92,2.52亿,35.62,7.3174,1122.58亿,1122.58亿
18,300394,天孚通信,284.32,4.72,A股,10.51,144.67亿,96.60亿,通信-通信设备-通信网络设备及器件,天孚通信,通信-通信设备-通信网络设备及器件,专精特新、5G概念、深证100R、贬值受益、深成500、华为概念、通信技术、东方财富热股、HS300_、大盘成长、CPO概念、无人驾驶、科技风格、富时罗素、2025年报预增、MSCI中国、融资融券、深股通、算力概念、大盘股、MPO连接器、先进封装、数据中心、英伟达概念、光纤概念、创业板综,12.820,291.80,279.99,3.10,3.01,3369.59万,157.52,56.7326,3101.43亿,3094.51亿
19,600176,中国巨石,59.41,1.21,A股,4.71,141.78亿,90.06亿,建筑材料-玻璃玻纤-玻纤制造,中国巨石,建筑材料-玻璃玻纤-玻纤制造,周期股、昨日高振幅、上证180_、标准普尔、东方财富热股、HS300_、2026一季报预增、央国企改革、DeepSeek概念、中字头、富时罗素、PEEK材料概念、MSCI中国、题材股、融资融券、行业龙头、养老金、沪股通、电子布、大盘股、PCB、光伏概念、新材料、一带一路、中欧经济一体化、风能、长江三角,0.710,63.00,58.00,3.73,2.66,1.48亿,46.94,7.5446,2379.06亿,2360.31亿
20,300750,宁德时代,361.91,-3.62,A股,4.02,139.06亿,59.15亿,电力设备-电池-锂电池,宁德时代,电力设备-电池-锂电池,钠离子电池、周期股、深证100R、新能源车、深成500、宁德时代概念、先进制造风格、华为概念、长安汽车概念、电池技术、HS300_、固态电池、储能概念、蚂蚁概念、富时罗素、MSCI中国、动力电池回收、宁组合、权重股、融资融券、行业龙头、华为汽车、深股通、大盘股、麒麟电池、小米汽车、换电概念、锂电池概念、茅指数、创业板综、锂矿概念、特斯拉概念,-13.590,375.20,361.50,0.38,2.47,1620.96万,20.18,5.1227,1.67万亿,1.54万亿
21,001309,德明利,848.99,-1.34,A股,4.30,136.51亿,65.29亿,电子-半导体-数字芯片设计,德明利,电子-半导体-数字芯片设计,国产芯片、光芯片、专精特新、5G概念、AIPC、昨日高振幅、2026一季报扭亏、长江存储、贬值受益、存储芯片、深成500、通信技术、东方财富热股、智能穿戴、大盘成长、信创、中芯概念、CPO概念、人工智能、科技风格、2025年报预增、MSCI中国、题材股、融资融券、深股通、中证500、半导体概念、大盘股、数据中心、汽车电子,-11.490,878.99,842.00,4.58,1.78,756.76万,14.39,29.0776,1925.92亿,1401.43亿
22,300604,长川科技,394.99,5.61,A股,17.90,134.56亿,70.24亿,电子-半导体-半导体设备,长川科技,电子-半导体-半导体设备,国产芯片、专精特新、两岸合作、昨日高振幅、国家大基金持股、2026中报预增、存储芯片、深成500、东方财富热股、趋势股、大盘成长、2025三季报预增、百日新高 、科技风格、2025年报预增、MSCI中国、题材股、融资融券、深股通、近期新高、中证500、半导体概念、大盘股、历史新高 、海峡两岸、创业板综,20.990,395.00,373.50,3.73,2.45,1827.73万,177.70,49.8217,2505.89亿,1933.36亿
23,002371,北方华创,890.02,1.32,A股,9.49,133.39亿,71.93亿,电子-半导体-半导体设备,北方华创,电子-半导体-半导体设备,国产芯片、深证100R、昨日高振幅、长江存储、国家大基金持股、第三代半导体、氮化镓、存储芯片、标准普尔、深成500、华为概念、东方财富热股、电池技术、趋势股、HS300_、大盘成长、中芯概念、高带宽内存、光刻机/胶、央国企改革、中国AI 50、OLED、科技风格、富时罗素、MSCI中国、题材股、宁组合、权重股、华为海思、融资融券、深股通、半导体概念、大盘股、光伏概念、锂电池概念、茅指数,11.590,905.00,872.84,1.11,2.17,805.52万,98.80,16.6764,6460.67亿,6455.51亿
24,603019,中科曙光,111.34,7.07,A股,5.95,125.53亿,89.72亿,计算机-计算机设备-其他计算机设备,中科曙光,计算机-计算机设备-其他计算机设备,国产芯片、区块链、数字经济、上证180_、抖音概念、冷却液、新型工业化、AI智能体、东方财富热股、大盘成长、腾讯概念、边缘计算、独角兽、国产操作系统、中国AI 50、量子通信、中字头、富时罗素、题材股、融资融券、液冷概念、网络安全、数据中心、Web3.0、智能电网、智能医疗、大数据、数据中心液冷、东数西算、昨日高振幅、工业互联、标准普尔、创投、HS300_、信创、VPN、算力租赁、百度概念、央国企改革、DeepSeek概念、人工智能、科技风格、MSCI中国、量子科技、云计算、数据安全、数字孪生、雄安新区、算力概念、沪股通、智慧城市、大盘股、上证50_、一带一路、中特估、智谱AI,7.350,112.00,102.70,5.69,3.63,8329.07万,178.28,7.3854,1624.79亿,1624.72亿
25,301308,江波龙,622.59,0.42,A股,4.60,123.47亿,63.53亿,电子-半导体-数字芯片设计,江波龙,电子-半导体-数字芯片设计,国产芯片、专精特新、深证100R、AIPC、贬值受益、国家大基金持股、长江存储、2026中报预增、存储芯片、深成500、华为概念、小米概念、东方财富热股、智能穿戴、消费电子概念、HS300_、AI手机结构件、信创、科技风格、2025年报预增、MSCI中国、AI手机、机器人概念、华为鲲鹏、数据安全、融资融券、AI眼镜、深股通、智能座舱、半导体概念、大盘股、先进封装、数据中心、长鑫存储、小米汽车、创业板综、DRAM存储、EDR概念,2.590,645.09,620.00,3.56,1.93,1004.23万,17.04,22.1077,2632.16亿,1753.60亿
26,002475,立讯精密,64.56,0.16,A股,3.19,118.98亿,41.19亿,电子-消费电子-消费电子零部件及组装,立讯精密,电子-消费电子-消费电子零部件及组装,国产芯片、周期股、DAC无源铜缆、深证100R、贬值受益、3D摄像头、深圳特区、深成500、铜缆高速连接、智能穿戴、CDU、无人驾驶、富时罗素、无线充电、机器人概念、融资融券、液冷概念、商业航天、苹果概念、智能音箱、数据中心、无线耳机、5G概念、昨日高振幅、电子烟、证金持股、转债标的、光通信模块、新能源车、标准普尔、华为概念、通信技术、消费电子概念、HS300_、智能家居、CPO概念、毫米波概念、混合现实、科技风格、HUD抬头显示、MSCI中国、权重股、AI眼镜、深股通、充电桩、虚拟现实、智能座舱、华为手机、大盘股、机器视觉、人形机器人、茅指数、海峡两岸、汽车电子,0.100,65.66,63.80,0.87,1.64,6369.39万,34.07,5.6448,4987.44亿,4729.07亿
27,601138,工业富联,68.66,-1.25,A股,5.33,117.66亿,78.74亿,电子-消费电子-消费电子零部件及组装,工业富联,电子-消费电子-消费电子零部件及组装,国产芯片、数据中心液冷、区块链、5G概念、两岸合作、东数西算、昨日高振幅、上证180_、新能源车、车联网、工业互联、2026中报预增、标准普尔、深圳特区、新型工业化、东方财富热股、创投、HS300_、UQD连接器、算力租赁、CPO概念、独角兽、人工智能、科技风格、富时罗素、富士康概念、2025年报预增、物联网、MSCI中国、阿里概念、机器人概念、云计算、权重股、融资融券、医疗器械概念、行业龙头、液冷概念、算力概念、虚拟现实、沪股通、智慧城市、大盘股、苹果概念、数据中心、英伟达概念、海峡两岸、大数据,-0.870,71.00,68.01,0.57,3.28,1.13亿,32.13,7.7262,1.36万亿,1.36万亿
28,688347,华虹宏力,394.66,-1.46,A股,11.75,115.75亿,64.36亿,电子-半导体-集成电路制造,华虹宏力,电子-半导体-集成电路制造,题材股、国产芯片、融资融券、昨日高振幅、近期新高、国家大基金持股、上证380、中证500、沪股通、半导体概念、存储芯片、大盘股、趋势股、消费电子概念、大盘成长、历史新高 、央国企改革、百日新高 、科技风格、MSCI中国、沪企改革,-5.840,407.98,375.00,4.05,2.59,1650.72万,1228.25,15.1536,6856.72亿,1608.90亿
29,002156,通富微电,75.86,5.11,A股,10.00,113.39亿,82.56亿,电子-半导体-集成电路封测,通富微电,电子-半导体-集成电路封测,国产芯片、AIPC、昨日高振幅、贬值受益、国家大基金持股、第三代半导体、存储芯片、标准普尔、深成500、华为概念、最近多板、通信技术、东方财富热股、智能穿戴、消费电子概念、创投、大盘成长、CPO概念、毫米波概念、科技风格、富时罗素、2025年报预增、物联网、MSCI中国、华为海思、移动支付、融资融券、深股通、昨日首板、智能座舱、半导体概念、先进封装、大盘股、碳化硅、玻璃基板、比亚迪概念、海峡两岸、汽车芯片、长江三角、传感器、汽车电子、特斯拉概念,3.690,77.67,73.79,7.18,3.58,1.09亿,87.45,7.4094,1151.10亿,1150.99亿
