序号,代码,名称,最新价(元) 10:28,涨跌幅(%) 10:28,证券类型,涨跌幅(%) 2026.07.09,成交额(元) 2026.07.09,成交额(元) 10:28,申万行业分类,股票简称,东财行业总分类,概念,涨跌额(元) 10:28,最高价(元) 10:28,最低价(元) 10:28,换手率(%) 10:28,量比 10:28,成交量(股) 10:28,市盈率(动)(倍) 2026.07.10,市净率(倍) 2026.07.10,总市值(元) 2026.07.10,流通市值(元) 2026.07.10
71,002709,天赐材料,41.99,1.28,A股,-7.02,62.29亿,33.83亿,电力设备-电池-电池化学品,天赐材料,电力设备-电池-电池化学品,钠离子电池、六氟磷酸锂、周期股、深证100R、昨日高振幅、新能源车、2026中报预增、标准普尔、深成500、宁德时代概念、先进制造风格、东方财富热股、电池技术、HS300_、固态电池、富时罗素、2025年报预增、PEEK材料概念、MSCI中国、动力电池回收、融资融券、深股通、大盘股、氟化工概念、氢能源、硫化物、新材料、锂电池概念、比亚迪概念、有机硅概念、大盘价值、氢氟酸、特斯拉概念,0.530,44.34,41.77,5.22,3.09,7883.54万,12.93,4.6317,855.58亿,633.33亿
72,603083,剑桥科技,210.49,4.20,A股,6.32,62.08亿,48.49亿,通信-通信设备-通信终端及配件,剑桥科技,通信-通信设备-通信终端及配件,中盘股、5G概念、昨日高振幅、贬值受益、光通信模块、工业互联、新型工业化、华为概念、通信技术、信创、智能家居、边缘计算、CPO概念、科技风格、2025年报预增、物联网、MSCI中国、融资融券、液冷概念、中盘成长、上证380、F5G概念、沪股通、一带一路、股权激励、WiFi6、WiFi,8.490,222.20,207.00,8.10,4.04,2231.78万,163.73,10.3831,774.98亿,579.98亿
73,600276,恒瑞医药,56.67,1.91,A股,2.96,60.50亿,35.20亿,医药生物-化学制药-化学制剂,恒瑞医药,医药生物-化学制药-化学制剂,上证180_、证金持股、标准普尔、医药医疗风格、创投、HS300_、大盘成长、仿制药一致性评价、医药电商、中药概念、眼科医疗、央视50_、辅助生殖、富时罗素、创新药、MSCI中国、细胞免疫治疗、权重股、医疗器械概念、融资融券、GLP-1制剂、沪股通、绿色电力、大盘股、上证50_、单抗概念、茅指数、股权激励、减肥药、智能医疗、PD-1,1.060,57.39,54.55,0.99,2.12,6289.52万,41.20,6.0324,3761.30亿,3614.98亿
74,300857,协创数据,296.32,1.35,A股,4.04,60.30亿,33.64亿,电子-消费电子-消费电子零部件及组装,协创数据,电子-消费电子-消费电子零部件及组装,国产芯片、贬值受益、网络游戏、短剧互动游戏、存储芯片、深圳特区、深成500、AI智能体、智能穿戴、大盘成长、腾讯概念、2026一季报预增、AI应用、物联网、阿里概念、云游戏、机器人概念、融资融券、AIGC概念、智能音箱、数据中心、英伟达概念、大数据、光芯片、5G概念、东数西算、光通信模块、车联网、小米概念、通信技术、消费电子概念、跨境电商、算力租赁、智能家居、CPO概念、DeepSeek概念、人工智能、科技风格、2025年报预增、MSCI中国、人脸识别、云计算、安防概念、AI眼镜、深股通、算力概念、中证500、净水概念、大盘股、人形机器人、创业板综、汽车电子、EDR概念,3.960,309.65,291.01,2.31,2.73,1124.49万,48.29,28.3137,1449.40亿,1441.98亿
75,300136,信维通信,96.29,-3.43,A股,10.94,60.23亿,32.10亿,电子-消费电子-消费电子零部件及组装,信维通信,电子-消费电子-消费电子零部件及组装,国产芯片、中盘股、贬值受益、深圳特区、深成500、东方财富热股、智能穿戴、央视50_、富时罗素、无线充电、MLCC、物联网、机器人概念、低空经济、融资融券、无人机、商业航天、苹果概念、智能音箱、被动元件概念、卫星导航、无线耳机、5G概念、昨日高振幅、电子烟、车联网、柔性屏、华为概念、通信技术、消费电子概念、越疆机器人、毫米波概念、混合现实、科技风格、富士康概念、MSCI中国、卫星互联网、6G概念、AI眼镜、深股通、卫星通信、虚拟现实、中证500、UWB概念、一带一路、海峡两岸、创业板综、WiFi6、WiFi、汽车电子、特斯拉概念,-3.420,100.02,95.33,3.98,2.25,3282.11万,222.04,11.6813,931.58亿,794.50亿
76,688120,华海清科,365.66,6.30,A股,16.61,59.64亿,39.68亿,电子-半导体-半导体设备,华海清科,电子-半导体-半导体设备,国产芯片、专精特新、融资融券、昨日高振幅、长江存储、上证380、中证500、第三代半导体、沪股通、半导体概念、存储芯片、大盘股、先进封装、东方财富热股、趋势股、大盘成长、长鑫存储、中芯概念、高带宽内存、MicroLED、央国企改革、科技风格、MSCI中国,21.660,374.85,340.01,2.23,2.38,1105.58万,182.65,23.8372,1806.81亿,1806.81亿
77,300821,东岳硅材,27.98,-7.75,A股,14.71,59.26亿,37.91亿,基础化工-化学制品-有机硅,东岳硅材,基础化工-化学制品-有机硅,题材股、融资融券、昨日高振幅、深股通、近期新高、燃料电池概念、硅橡胶、2026中报预增、硅能源、东方财富热股、小盘股、氢能源、电池技术、趋势股、新材料、2026一季报预增、百日新高 、有机硅概念、创业板综、富时罗素、有机硅单体,-2.350,30.49,27.70,10.91,3.15,1.31亿,43.20,6.5714,335.28亿,335.22亿
78,688361,中科飞测,452.00,1.23,A股,9.44,58.76亿,24.24亿,电子-半导体-半导体设备,中科飞测,电子-半导体-半导体设备,国产芯片、专精特新、中盘股、融资融券、2025年报扭亏、国家大基金持股、中盘成长、上证380、中证500、沪股通、半导体概念、存储芯片、先进封装、趋势股、中芯概念、高带宽内存、科技风格、先进封装设备、MSCI中国,5.500,453.53,422.00,1.56,1.65,544.51万,-581.70,31.1750,1581.34亿,1581.34亿
79,000636,风华高科,63.47,-1.52,A股,6.34,58.43亿,36.95亿,电子-元件-被动元件,风华高科,电子-元件-被动元件,中盘股、5G概念、东数西算、昨日高振幅、高压快充、深成500、华为概念、通信技术、东方财富热股、电池技术、智能穿戴、创投、央国企改革、CPO概念、超级电容、科技风格、小金属概念、MLCC、机器人概念、融资融券、低空经济、AI眼镜、液冷概念、深股通、虚拟机器人、无人机、中盘成长、商业航天、被动元件概念、光伏概念、卫星导航、锂电池概念、比亚迪概念、传感器、汽车电子,-0.980,66.28,62.50,4.95,2.76,5730.28万,207.24,5.9356,734.12亿,734.12亿
80,603893,瑞芯微,223.80,7.93,A股,2.65,58.33亿,35.96亿,电子-半导体-数字芯片设计,瑞芯微,电子-半导体-数字芯片设计,国产芯片、专精特新、昨日高振幅、上证180_、国家大基金持股、2026中报预增、AI芯片、华为概念、小米概念、趋势股、智能穿戴、消费电子概念、HS300_、大盘成长、2025三季报预增、腾讯概念、电力物联网、2026一季报预增、百度概念、智能家居、人工智能、中国AI 50、科技风格、MCU芯片、2025年报预增、物联网、MSCI中国、机器人概念、福建自贸区、融资融券、AI眼镜、虚拟现实、智能座舱、沪股通、ASIC芯片、半导体概念、大盘股、智能音箱、机器视觉、人形机器人、比亚迪概念、海峡两岸、股权激励、汽车芯片、EDR概念,16.440,227.00,207.00,3.90,2.70,1650.40万,71.92,20.0502,946.98亿,946.86亿
81,300346,南大光电,80.49,0.39,A股,8.16,58.23亿,41.44亿,电子-电子化学品Ⅱ-电子化学品Ⅲ,南大光电,电子-电子化学品Ⅱ-电子化学品Ⅲ,国产芯片、LED概念、专精特新、中盘股、国家大基金持股、氮化镓、深成500、存储芯片、华为概念、东方财富热股、中芯概念、光刻机/胶、磷化工、OLED、富时罗素、电子特气、MSCI中国、题材股、融资融券、深股通、中盘成长、中证500、半导体概念、氟化工概念、第四代半导体、光伏概念、新材料、工业气体、创业板综、股权激励、长江三角,0.310,84.20,79.00,7.71,2.73,5057.12万,111.82,16.3081,555.55亿,527.28亿
82,300620,光库科技,314.58,-0.28,A股,3.57,57.44亿,26.53亿,通信-通信设备-通信网络设备及器件,光库科技,通信-通信设备-通信网络设备及器件,国产芯片、中盘股、5G概念、海工装备、昨日高振幅、OCS交换机、光通信模块、3D打印、2026中报预增、深成500、通信技术、2025三季报预增、2026一季报预增、央国企改革、CPO概念、横琴新区、无人驾驶、量子通信、科技风格、2025年报预增、海底电缆、MSCI中国、量子科技、卫星互联网、激光雷达、融资融券、深股通、中盘成长、中证500、商业航天、MPO连接器、数据中心、卫星导航、光纤概念、一带一路、创业板综、海洋经济、股权激励,-0.870,324.50,310.60,3.36,2.74,831.05万,438.55,36.4187,784.77亿,778.23亿
83,002049,紫光国微,89.02,2.22,A股,4.29,57.09亿,30.82亿,电子-半导体-数字芯片设计,紫光国微,电子-半导体-数字芯片设计,国产芯片、区块链、5G概念、深证100R、IGBT概念、转债标的、车联网、第三代半导体、EDA概念、存储芯片、标准普尔、深成500、AI芯片、通信技术、消费电子概念、智能穿戴、HS300_、高带宽内存、京津冀一体化、CPO概念、人工智能、富时罗素、MCU芯片、物联网、MSCI中国、卫星互联网、军工、大飞机、移动支付、融资融券、数字货币、深股通、算力概念、商业航天、ASIC芯片、半导体概念、大盘股、碳化硅、蓝宝石、卫星导航、ETC、汽车芯片、DRAM存储、汽车电子,1.930,89.20,85.58,4.16,2.90,3532.88万,56.48,5.5272,755.24亿,755.13亿
84,600172,黄河旋风,18.75,0.27,A股,6.31,57.02亿,30.54亿,机械设备-通用设备-磨具磨料,黄河旋风,机械设备-通用设备-磨具磨料,题材股、培育钻石、融资融券、昨日高振幅、第三代半导体、沪股通、旅游概念、标准普尔、节能环保、小盘价值、东方财富热股、小盘股、昨日高换手、趋势股、新材料、超硬材料、央国企改革,0.050,19.80,18.33,12.58,2.11,1.61亿,-70.04,58.3244,270.41亿,239.30亿
85,300017,网宿科技,15.75,2.74,A股,4.57,55.96亿,26.73亿,计算机-IT服务Ⅱ-IT服务Ⅲ,网宿科技,计算机-IT服务Ⅱ-IT服务Ⅲ,中盘股、多模态AI、东数西算、IPv6、数字经济、贬值受益、元宇宙概念、深成500、AI智能体、华为概念、最近多板、信创、算力租赁、边缘计算、在线教育、DeepSeek概念、阿兹海默、人工智能、富时罗素、网红经济、MSCI中国、华为鲲鹏、云计算、题材股、数据安全、融资融券、液冷概念、深股通、算力概念、超清视频、IaaS、AIGC概念、中证500、网络安全、华为系算力、数据中心、OpenClaw算力、互联网服务、电商概念、一带一路、虚拟数字人、创业板综、股权激励、长江三角、大数据,0.420,16.05,14.90,7.36,3.97,1.72亿,81.49,3.8858,393.57亿,369.24亿
86,688362,甬矽电子,116.35,1.35,A股,17.14,55.08亿,31.62亿,电子-半导体-集成电路封测,甬矽电子,电子-半导体-集成电路封测,国产芯片、专精特新、融资融券、5G概念、昨日高振幅、数字货币、近期新高、沪股通、半导体概念、先进封装、东方财富热股、小盘股、趋势股、消费电子概念、历史新高 、百日新高 、MCU芯片、2025年报预增、小盘成长、传感器、汽车电子,1.550,120.80,112.91,5.99,2.49,2705.27万,493.49,13.9113,525.23亿,525.23亿
87,600498,XD烽火通,57.22,0.74,A股,4.96,54.63亿,31.52亿,通信-通信设备-通信网络设备及器件,烽火通信,通信-通信设备-通信网络设备及器件,国产芯片、国资云概念、中盘股、海工装备、AI智能体、空芯光纤、华为昇腾、富时罗素、华为鲲鹏、数据要素、智慧政务、融资融券、液冷概念、中盘成长、上证380、F5G概念、商业航天、特高压、网络安全、华为系算力、数据中心、卫星导航、光纤概念、汽车芯片、智能医疗、湖北三资改革、大数据、湖北自贸、光纤光缆、数据中心液冷、5G概念、东数西算、IPv6、昨日高振幅、光通信模块、数字乡村、标准普尔、通信技术、创投、央国企改革、CPO概念、DeepSeek概念、人工智能、科技风格、MCU芯片、MSCI中国、卫星互联网、云计算、数据安全、6G概念、算力概念、中证500、沪股通、智慧城市、一带一路、中特估、WiFi6,0.420,59.20,56.56,4.29,2.90,5450.82万,505.88,4.4544,776.87亿,727.37亿
88,688017,XD绿的谐,408.90,0.20,A股,4.42,54.52亿,29.63亿,机械设备-自动化设备-机器人,绿的谐波,机械设备-自动化设备-机器人,专精特新、中盘股、医疗器械概念、融资融券、中盘成长、上证380、中证500、沪股通、半导体概念、新型工业化、先进制造风格、新能源、人形机器人、中国AI 50、2025年报预增、减速器、机器人执行器、机器人概念,0.830,422.00,390.99,3.94,1.45,722.55万,574.23,21.2327,749.58亿,749.58亿
89,688629,华丰科技,219.80,4.83,A股,1.80,54.47亿,33.67亿,国防军工-军工电子Ⅱ-军工电子Ⅲ,华丰科技,国防军工-军工电子Ⅱ-军工电子Ⅲ,中盘股、5G概念、西部大开发、高压快充、新能源车、光通信模块、铜缆高速连接、先进制造风格、华为概念、趋势股、腾讯概念、核能核电、央国企改革、CPO概念、MSCI中国、阿里概念、机器人概念、军工、融资融券、低空经济、2025年报扭亏、液冷概念、卫星通信、无人机、中盘成长、上证380、中证500、商业航天、沪股通、数据中心、卫星导航、比亚迪概念、高铁,10.120,228.16,212.22,3.32,2.33,1532.76万,245.07,35.5799,1030.40亿,1014.41亿
90,002837,英维克,78.08,2.91,A股,5.20,54.18亿,27.41亿,机械设备-专用设备-其他专用设备,英维克,机械设备-专用设备-其他专用设备,5G概念、东数西算、深证100R、昨日高振幅、新能源车、抖音概念、深圳特区、深成500、先进制造风格、华为概念、通信技术、HS300_、大盘成长、UQD连接器、腾讯概念、储能概念、CDU、中国AI 50、MSCI中国、阿里概念、军工、融资融券、液冷概念、充电桩、深股通、字节系算力、大盘股、数据中心、英伟达概念、比亚迪概念、腾讯云、高铁、冷链物流,2.210,78.32,74.60,3.15,2.52,3566.15万,2862.19,30.0401,991.19亿,879.27亿
